valid_time,number,expver,Temperatura_C,Radiacion_Wm2,Precipitacion_mm
2007-02-01,0.0,0001,23.05755,240.84885757720892,1.9247557
2007-03-01,0.0,0001,23.48083,247.21774207593168,2.889652
2007-04-01,0.0,0001,23.85928,228.18663023917335,5.551536
2007-05-01,0.0,0001,23.410349,176.9340575293161,15.865859
2007-06-01,0.0,0001,23.205578,189.05372670672241,10.065315
2007-07-01,0.0,0001,22.905466,179.51931277574596,12.068107
2007-08-01,0.0,0001,22.937788,192.60642364739346,12.686122
2007-09-01,0.0,0001,22.813654,182.80177520535818,13.435175
2007-10-01,0.0,0001,22.438389,162.1935036427493,20.203426
2007-11-01,0.0,0001,22.209919,154.46624201787995,12.274118
2007-12-01,0.0,0001,21.871513,176.11424169859515,6.679526
2008-01-01,0.0,0001,21.916399,209.39102279983743,3.3910582
2008-02-01,0.0,0001,22.387651,222.74356307326138,2.7342768
2008-03-01,0.0,0001,23.038364,251.77306012713345,1.9465317
2008-04-01,0.0,0001,23.499275,245.02194963282247,3.436763
2008-05-01,0.0,0001,23.239098,194.5535088674097,13.215309
2008-06-01,0.0,0001,22.930796,182.1110426462905,12.25397
2008-07-01,0.0,0001,22.495111,164.98087629165215,14.46938
2008-08-01,0.0,0001,22.692984,183.58093416202252,14.021522
2008-09-01,0.0,0001,23.041594,183.66490160222918,14.002044
2008-10-01,0.0,0001,22.524586,157.9661843289214,16.538881
2008-11-01,0.0,0001,22.047865,137.27881378439568,19.601284
2008-12-01,0.0,0001,21.810976,174.10400854812494,7.481768
2009-01-01,0.0,0001,22.087688,191.1893145535818,3.8881924
2009-02-01,0.0,0001,22.086634,213.55993559880415,5.655982
2009-03-01,0.0,0001,22.674116,240.121411238825,3.7363412
2009-04-01,0.0,0001,23.663025,246.6368022175781,3.1421824
2009-05-01,0.0,0001,23.60635,208.27760630732615,7.7443986
2009-06-01,0.0,0001,23.19707,181.54295454545453,12.105509
2009-07-01,0.0,0001,23.104395,168.70228397480554,11.673118
2009-08-01,0.0,0001,23.128857,175.88966039707418,13.841114
2009-09-01,0.0,0001,23.521702,199.49597652168234,9.808335
2009-10-01,0.0,0001,22.88318,159.6512617554859,16.666239
2009-11-01,0.0,0001,22.652885,155.3580619412516,13.4060545
2009-12-01,0.0,0001,22.911215,188.1326959247649,4.322406
